author,title,booktitle,year,url
Qichen Chen and Hyojeong Lee and Yoonhee Kim and Heon Yeom and Yongseok Son,Design and Implementation of Skiplist-based Key-Value Store on Non-volatile Memory,Cluster Computing,2019,https://doi.org/10.1007/s10586-019-02925-1
Hanul Sung and Jeesoo Min and Sujin Ha and Hyeonsang Eom,OMBM: optimized memory bandwidth management for ensuring QoS and high server utilization,Cluster Computing,2019,https://doi.org/10.1007/s10586-018-2828-1
Seongjae Park and Minchan Kim and Heonyoung Yeom,GCMA: Guaranteed Contiguous Memory Allocator,IEEE Transactions on Computers,2019,https://doi.org/10.1109/TC.2018.2869169
Sunggon Kim and Hyeonsang Eom and Yongseok Son,Improving spatial locality in virtual machine for flash storage,IEEE Access,2019,https://doi.org/10.1109/ACCESS.2018.2886473
Naeyoung Song and Hwajung Kim and Hyuck Han and Heonyoung Yeom,Optimizing of metadata management in large-scale file systems,Cluster Computing,2018,https://doi.org/10.1007/s10586-018-2814-7
Hanul Sung and Myungsun Kim and Jeesoo Min and Hyeonsang Eom,OLM: online LLC management for container-based cloud service,The Journal of Supercomputing,2018,https://doi.org/10.1007/s11227-017-2181-9
Yongseok Son and Heonyoung Yeom and Hyuck Han,Design and implementation of an efficient flushing scheme for cloud key-value storage,Cluster Computing,2017,
Yongseok Son and Naeyoung Song and Heonyoung Yeom and Hyuck Han,A low-latency storage stack for fast storage devices,Cluster Computing,2017,
Yongseok Son and Heonyoung Yeom and Hyuck Han,Optimizing I/O operations in file systems for fast storage devices,IEEE Transactions on Computers,2017,
Yoonsung Nam and Minkyu Kang and Hanul Sung and Jincheol Kim and Hyeonsang Eom,Workload-aware resource management for software-defined compute,Cluster Computing,2016,https://dx.doi.org/10.1007/s10586-016-0613-6
Yongseok Son and Hara Kang and Hyuck Han and Heonyoung Yeom,An empirical evaluation and analysis of the performance of NVM express solid state drive,Cluster Computing,2016,https://dx.doi.org/10.1007/s10586-016-0591-8
Naeyoung Song and Yongseok Son and Hyuck Han and Heonyoung Yeom,Efficient Memory-Mapped I/O on Fast Storage Device(Annual Best of Computing Award),ACM Transactions on Storage,2016,https://doi.acm.org/10.1145/2846100
Yongseok Son and Naeyoung Song and Hyuck Han and Hyeonsang Eom and Heonyoung Yeom,Design and evaluation of a user-level file system for fast storage devices,Cluster Computing,2015,https://dx.doi.org/10.1007/s10586-015-0465-5
Hyungsoo Jung and Hyuck Han and Alan Fekete and Gernot Heiser and Heonyoung Yeom,A Scalable Lock Manager for Multicores,ACM Transactions on Database Systems,2014,https://doi.acm.org/10.1145/2691190.2691192
Youngjin Yu and Dongin Shin and Woong Shin and Naeyoung Song and Jaewoo Choi and Hyeongseog Kim and Hyeonsang Eom and Heonyoung Yeom,Optimizing the Block I/O Subsystem for Fast Storage Devices,ACM Transactions on Computer Systems,2014,https://doi.acm.org/10.1145/2619092
Sehoon Park and Qichen Chen and Hyuck Han and Heonyoung Yeom,Design and Evaluation of Mobile Offloading System for Web-centric Devices,Journal of Network and Computer Applications,2014,https://dx.doi.org/10.1016/j.jnca.2013.08.006
Reza Entezari-Maleki and Ali Mohammadkhan and Heonyoung Yeom and Ali Movaghar,Combined performance and availability analysis of distributed resources in grid computing,The Journal of Supercomputing,2014,https://dx.doi.org/10.1007/s11227-014-1184-z
Jae Woo Choi and Dong In Shin and Young Jin Yu and Hyeonsang Eom and Heonyoung Yeom,Towards High-Performance SAN with Fast Storage Devices,ACM Transactions on Storage,2014,https://doi.acm.org/10.1145/2577385
Shin-gyu Kim and Hyeonsang Eom and Heonyoung Yeom and Sanglyul Min,Energy-centric DVFS controlling method for multi-core platforms,Computing,2014,https://dx.doi.org/10.1007/s00607-013-0369-2
Shin-gyu Kim and Hyeonsang Eom and Heonyoung Yeom,Virtual machine consolidation based on interference modeling,The Journal of Supercomputing,2013,https://dx.doi.org/10.1007/s11227-013-0939-2
Insoon Jo and Imyoung Jung and Heonyoung Yeom,Efficient Classification Scheme for Detecting Malicious Websites,International Information Institute (Tokyo). Information,2013,
Dongyou Seo and Shingyu Kim and Hyeonsang Eom and Heonyoung Yeom,Performance Evaluation of CPU-GPU communication Depending on the Characteristic of Co-Located Workloads,International Journal on Computer Science and Engineering,2013,
Hyungsoo Jung and Hyuck Han and Alan Fekete and Gernot Heiser and Heonyoung Yeom,A Scalable Lock Manager for Multicores,Proceedings of the 2013 ACM SIGMOD International Conference on Management of Data,2013,https://doi.acm.org/10.1145/2463676.2465271
Hyeongseog Kim and Dongin Shin and Youngjin Yu and Hyeonsang Eom and Heonyoung Yeom,Systematic Approach of Using Power Save Mode for Cloud Data Processing Services,International Journal of Ad Hoc and Ubiquitous Computing,2012,https://dx.doi.org/10.1504/IJAHUC.2012.048258
